@relation Mushroom-new
@attribute cap-shape {c,b,f,k,s,x}
@attribute cap-surface {y,s,g,f}
@attribute cap-color {c,b,e,g,n,p,r,u,w,y}
@attribute odor {a,c,f,m,l,n,p,s,y}
@attribute gill-attachment {a,f}
@attribute gill-spacing {c,w}
@attribute stalk-root {r,c,b,e,?}
@attribute population {a,c,n,s,v,y}
@attribute habitat {d,g,m,l,p,u,w}
@attribute class {p,e}
@data
x,y,y,l,f,c,c,s,m,e
x,s,w,l,f,c,c,n,m,e
x,y,y,l,f,c,r,s,p,e
f,y,y,l,f,c,r,s,p,e
x,y,n,a,f,c,r,s,g,e
x,s,w,l,f,c,c,s,g,e
b,s,w,l,f,c,c,n,m,e
x,y,n,p,f,c,e,v,u,p
x,s,w,p,f,c,e,v,u,p
b,y,y,a,f,c,c,s,m,e
f,f,g,n,f,w,e,a,g,e
b,s,w,a,f,c,c,n,g,e
x,s,y,l,f,c,c,n,g,e
x,y,n,a,f,c,r,y,p,e
s,f,g,n,f,c,e,v,u,e
b,y,y,a,f,c,c,s,m,e
b,s,y,l,f,c,c,s,m,e
b,y,y,l,f,c,c,n,m,e
b,y,w,l,f,c,c,s,g,e
f,s,n,n,f,w,e,a,g,e
x,s,w,l,f,c,c,s,g,e
f,y,y,a,f,c,r,s,g,e
x,y,y,a,f,c,c,n,g,e
x,f,g,n,f,c,e,v,u,e
f,f,y,l,f,w,b,v,d,e
b,y,w,l,f,c,c,s,m,e
f,f,y,l,f,w,b,v,d,e
x,y,n,a,f,c,r,s,p,e
b,s,y,a,f,c,c,s,g,e
f,s,y,l,f,w,b,v,d,e
x,s,w,l,f,w,b,v,d,e
f,y,n,l,f,c,r,y,p,e
x,y,n,p,f,c,e,v,u,p
f,y,n,a,f,c,r,y,g,e
x,s,n,n,f,w,e,s,g,e
x,y,w,p,f,c,e,s,g,p
f,f,g,n,f,c,e,y,u,e
x,f,g,n,f,w,e,s,g,e
x,y,y,l,f,c,r,s,g,e
x,s,n,n,f,w,e,s,g,e
b,s,w,a,f,c,c,s,g,e
x,s,w,l,f,c,c,s,g,e
f,y,n,l,f,c,r,y,g,e
s,f,n,n,f,c,e,v,u,e
x,f,n,n,f,c,e,y,u,e
b,s,w,l,f,c,c,s,g,e
x,y,y,a,f,c,c,s,g,e
x,y,y,l,f,c,c,n,m,e
x,s,n,n,f,w,e,a,g,e
x,s,w,a,f,c,c,s,g,e
f,y,n,l,f,c,r,s,g,e
x,s,y,a,f,c,c,n,g,e
b,s,w,a,f,c,c,s,g,e
x,y,w,a,f,c,c,s,g,e
x,f,n,n,f,w,e,s,g,e
b,s,y,l,f,c,c,n,g,e
f,y,y,l,f,c,r,s,g,e
x,y,y,a,f,c,r,y,p,e
b,y,w,l,f,c,c,n,g,e
x,y,y,a,f,c,c,n,m,e
x,y,y,a,f,c,r,y,g,e
b,y,w,l,f,c,c,s,m,e
b,y,w,a,f,c,c,s,m,e
x,s,y,a,f,c,c,n,m,e
x,s,y,l,f,c,c,n,g,e
s,f,g,n,f,c,e,y,u,e
x,f,w,a,f,w,b,v,d,e
x,s,y,a,f,c,c,n,m,e
x,y,w,p,f,c,e,v,u,p
x,y,y,l,f,c,r,s,g,e
s,f,g,n,f,c,e,y,u,e
x,y,y,l,f,c,r,y,g,e
x,s,y,l,f,w,b,v,d,e
s,f,n,n,f,c,e,y,u,e
x,s,w,p,f,c,e,v,g,p
x,y,w,a,f,c,c,n,m,e
f,y,n,p,f,c,e,v,g,p
f,s,g,n,f,w,e,a,g,e
x,s,y,l,f,c,c,s,m,e
x,s,w,n,f,w,e,s,g,e
b,s,y,a,f,c,c,n,g,e
f,f,g,n,f,w,e,a,g,e
x,s,w,l,f,c,c,n,g,e
b,s,w,l,f,c,c,s,m,e
b,s,w,l,f,c,c,s,g,e
b,y,w,l,f,c,c,s,m,e
f,s,w,l,f,w,b,v,d,e
x,y,y,l,f,c,c,s,m,e
f,s,w,a,f,w,b,v,d,e
x,y,w,p,f,c,e,v,u,p
f,f,w,l,f,w,b,v,d,e
x,y,y,a,f,c,c,s,g,e
x,s,n,p,f,c,e,v,g,p
b,s,y,l,f,c,c,n,g,e
x,y,n,a,f,c,r,y,p,e
b,y,y,l,f,c,c,n,m,e
s,f,n,n,f,c,e,v,u,e
f,y,n,a,f,c,r,y,p,e
x,y,y,a,f,c,c,n,g,e
x,f,g,n,f,w,e,s,g,e
f,f,w,n,f,w,e,a,g,e
x,y,y,l,f,c,c,n,m,e
b,s,y,l,f,c,c,n,g,e
b,y,w,a,f,c,c,n,m,e
x,y,w,a,f,c,c,s,g,e
x,s,n,n,f,w,e,a,g,e
x,y,w,l,f,c,c,s,g,e
s,f,n,n,f,c,e,v,u,e
x,s,w,a,f,w,b,v,d,e
x,y,n,l,f,c,r,s,g,e
b,y,y,a,f,c,c,n,g,e
x,y,w,a,f,c,c,n,g,e
b,y,w,a,f,c,c,s,m,e
b,s,y,a,f,c,c,s,g,e
b,s,y,l,f,c,c,s,m,e
b,y,y,a,f,c,c,n,g,e
x,f,n,n,f,c,e,y,u,e
f,y,n,l,f,c,r,y,g,e
x,y,w,a,f,c,c,s,g,e
f,y,y,l,f,c,r,y,p,e
b,s,w,a,f,c,c,s,g,e
b,s,w,a,f,c,c,s,m,e
x,y,n,l,f,c,r,y,g,e
b,s,w,a,f,c,c,s,g,e
x,f,g,n,f,c,e,y,u,e
b,s,y,l,f,c,c,s,g,e
x,f,y,l,f,w,b,v,d,e
b,y,y,a,f,c,c,s,g,e
f,y,y,l,f,c,r,s,g,e
b,y,w,l,f,c,c,n,m,e
b,y,w,a,f,c,c,n,m,e
b,y,y,a,f,c,c,s,g,e
x,y,y,l,f,c,c,n,m,e
b,s,y,l,f,c,c,n,g,e
x,y,w,p,f,c,e,v,u,p
s,f,n,n,f,c,e,y,u,e
f,f,n,n,f,c,e,v,u,e
x,s,y,a,f,c,c,s,m,e
f,y,n,a,f,c,r,s,p,e
x,y,w,p,f,c,e,s,g,p
b,s,w,l,f,c,c,s,m,e
f,f,g,n,f,c,e,v,u,e
b,y,y,l,f,c,c,n,g,e
x,y,n,a,f,c,r,y,p,e
x,f,w,n,f,w,e,s,g,e
x,s,w,l,f,w,b,v,d,e
b,s,w,l,f,c,c,s,m,e
f,s,y,a,f,w,b,v,d,e
x,s,y,a,f,c,c,n,m,e
f,f,g,n,f,c,e,y,u,e
b,s,y,a,f,c,c,s,g,e
x,s,w,l,f,c,c,n,m,e
x,y,w,l,f,c,c,s,m,e
f,s,w,a,f,w,b,v,d,e
x,y,y,l,f,c,c,s,g,e
b,s,w,l,f,c,c,s,g,e
x,s,w,a,f,c,c,n,g,e
x,f,w,n,f,w,e,s,g,e
f,y,n,l,f,c,r,y,p,e
x,s,w,p,f,c,e,v,u,p
b,s,w,a,f,c,c,n,g,e
b,s,w,a,f,c,c,s,m,e
b,y,w,l,f,c,c,n,g,e
b,y,w,a,f,c,c,n,g,e
x,s,y,a,f,c,c,s,g,e
b,s,w,l,f,c,c,n,m,e
x,f,y,a,f,w,b,v,d,e
x,f,g,n,f,c,e,y,u,e
f,y,y,a,f,c,r,s,g,e
b,s,w,l,f,c,c,n,m,e
x,s,y,a,f,c,c,s,g,e
x,y,y,a,f,c,c,s,g,e
x,y,w,l,f,c,c,s,g,e
s,f,g,n,f,c,e,v,u,e
x,s,w,a,f,c,c,n,m,e
x,s,w,p,f,c,e,s,g,p
x,y,y,a,f,c,r,s,g,e
f,f,w,a,f,w,b,v,d,e
x,y,w,l,f,c,c,n,m,e
b,y,w,l,f,c,c,s,g,e
x,s,w,a,f,c,c,n,g,e
x,s,y,a,f,c,c,s,g,e
x,y,n,p,f,c,e,v,u,p
b,s,y,a,f,c,c,n,g,e
x,f,g,n,f,c,e,y,u,e
x,y,w,p,f,c,e,s,u,p
x,y,y,l,f,c,r,y,p,e
f,f,n,n,f,c,e,v,u,e
b,s,w,l,f,c,c,n,g,e
x,f,w,l,f,w,b,v,d,e
x,y,w,l,f,c,c,s,g,e
b,y,y,l,f,c,c,s,g,e
x,y,y,l,f,c,r,s,g,e
f,y,y,a,f,c,r,s,p,e
f,y,y,a,f,c,r,y,p,e
x,s,w,l,f,c,c,s,g,e
x,s,w,a,f,c,c,n,m,e
x,s,w,p,f,c,e,v,u,p
f,f,w,a,f,w,b,v,d,e
x,s,w,l,f,c,c,s,g,e
x,s,w,l,f,w,b,v,d,e
x,y,w,a,f,c,c,s,m,e
f,y,y,l,f,c,r,y,p,e
x,s,n,n,f,w,e,s,g,e
f,y,y,a,f,c,r,y,g,e
x,s,n,p,f,c,e,s,g,p
s,f,n,n,f,c,e,v,u,e
b,y,y,l,f,c,c,s,m,e
b,s,w,l,f,c,c,s,g,e
b,y,w,l,f,c,c,n,m,e
f,f,n,n,f,c,e,v,u,e
x,s,w,a,f,c,c,n,m,e
b,y,w,l,f,c,c,n,g,e
b,y,w,a,f,c,c,n,m,e
f,y,n,l,f,c,r,s,g,e
x,y,w,p,f,c,e,v,g,p
x,s,w,a,f,c,c,n,g,e
x,y,w,a,f,c,c,s,m,e
f,f,w,l,f,w,b,v,d,e
f,f,g,n,f,c,e,v,u,e
f,s,g,n,f,w,e,a,g,e
x,y,y,a,f,c,c,s,m,e
b,s,w,a,f,c,c,s,m,e
f,y,n,p,f,c,e,s,u,p
x,s,w,l,f,c,c,n,m,e
f,s,n,p,f,c,e,v,u,p
x,y,w,l,f,c,c,s,g,e
x,y,y,a,f,c,c,n,m,e
f,y,y,a,f,c,r,s,p,e
x,y,n,a,f,c,r,s,p,e
f,y,n,a,f,c,r,y,g,e
x,y,w,a,f,c,c,n,m,e
f,f,n,n,f,w,e,s,g,e
x,s,y,l,f,c,c,n,m,e
x,y,w,p,f,c,e,s,g,p
b,y,y,a,f,c,c,n,m,e
s,f,n,n,f,c,e,v,u,e
x,s,y,l,f,c,c,s,m,e
b,y,w,l,f,c,c,n,m,e
f,y,n,a,f,c,r,s,g,e
b,y,y,a,f,c,c,s,m,e
b,y,w,a,f,c,c,s,g,e
x,y,n,l,f,c,r,y,p,e
f,f,g,n,f,c,e,y,u,e
x,f,g,n,f,c,e,y,u,e
b,y,y,l,f,c,c,s,g,e
x,s,y,l,f,c,c,s,m,e
b,y,w,l,f,c,c,s,g,e
x,s,w,a,f,c,c,s,m,e
b,s,y,a,f,c,c,n,m,e
x,s,y,a,f,c,c,s,m,e
x,f,g,n,f,w,e,s,g,e
f,s,y,a,f,w,b,v,d,e
x,y,w,p,f,c,e,s,g,p
x,f,w,n,f,w,e,a,g,e
b,y,w,a,f,c,c,s,g,e
x,s,y,l,f,w,b,v,d,e
b,y,w,a,f,c,c,s,g,e
x,y,w,l,f,c,c,s,g,e
x,f,n,n,f,c,b,y,d,e
b,y,w,l,f,c,c,s,m,e
x,s,y,l,f,c,c,n,m,e
f,y,n,a,f,c,r,y,g,e
x,f,w,n,f,w,e,s,g,e
x,s,y,l,f,c,c,s,g,e
x,y,w,p,f,c,e,v,g,p
x,y,y,l,f,c,c,s,g,e
x,f,w,a,f,w,b,v,d,e
b,s,y,a,f,c,c,n,g,e
x,y,w,p,f,c,e,v,u,p
x,s,y,a,f,w,b,v,d,e
x,y,w,a,f,c,c,n,m,e
x,f,w,l,f,w,b,v,d,e
f,s,w,l,f,w,b,v,d,e
x,y,y,l,f,c,c,s,m,e
f,f,y,a,f,w,b,v,d,e
x,s,w,a,f,c,c,s,g,e
b,y,y,a,f,c,c,s,m,e
x,y,n,l,f,c,r,s,p,e
b,y,w,l,f,c,c,n,g,e
x,s,y,a,f,c,c,s,m,e
x,y,n,p,f,c,e,v,u,p
b,s,y,l,f,c,c,n,g,e
b,y,w,a,f,c,c,n,g,e
x,y,n,p,f,c,e,v,u,p
b,s,w,l,f,c,c,s,m,e
b,y,y,l,f,c,c,n,m,e
b,y,y,a,f,c,c,s,g,e
x,y,w,l,f,c,c,n,g,e
x,f,n,n,f,c,b,y,d,e
x,y,n,a,f,c,r,y,g,e
b,s,y,l,f,c,c,s,g,e
x,f,g,n,f,c,e,v,u,e
x,y,n,l,f,c,r,y,g,e
x,s,w,a,f,c,c,s,g,e
b,y,w,a,f,c,c,n,g,e
x,s,y,a,f,c,c,s,m,e
f,f,y,a,f,w,b,v,d,e
b,y,y,l,f,c,c,s,g,e
x,f,n,n,f,w,e,a,g,e
x,f,y,l,f,w,b,v,d,e
x,s,y,a,f,c,c,n,m,e
f,s,g,n,f,w,e,s,g,e
x,f,n,n,f,c,e,y,u,e
f,s,g,n,f,w,e,a,g,e
f,y,n,a,f,c,r,s,p,e
b,y,w,a,f,c,c,s,g,e
b,s,y,a,f,c,c,s,m,e
x,y,y,l,f,c,r,s,p,e
s,f,g,n,f,c,e,v,u,e
f,y,n,a,f,c,r,y,p,e
x,y,n,p,f,c,e,s,u,p
x,y,y,a,f,c,r,y,p,e
x,y,y,a,f,c,c,s,g,e
x,f,n,n,f,w,e,s,g,e
x,f,n,n,f,w,e,a,g,e
f,s,n,n,f,w,e,a,g,e
f,y,n,a,f,c,r,s,p,e
x,s,y,a,f,c,c,n,g,e
f,f,n,n,f,c,e,v,u,e
x,y,y,a,f,c,r,s,p,e
x,f,y,a,f,w,b,v,d,e
b,y,y,a,f,c,c,n,g,e
x,f,g,n,f,w,e,s,g,e
x,y,y,a,f,c,r,s,g,e
f,y,n,l,f,c,r,y,g,e
x,s,y,a,f,c,c,s,m,e
s,f,n,n,f,c,e,y,u,e
x,s,w,a,f,c,c,s,m,e
b,s,w,l,f,c,c,n,g,e
s,f,n,n,f,c,e,y,u,e
b,y,y,l,f,c,c,n,m,e
x,y,y,l,f,c,c,n,g,e
b,y,y,a,f,c,c,s,g,e
x,y,n,p,f,c,e,s,u,p
x,s,w,n,f,w,e,s,g,e
x,y,w,a,f,c,c,s,m,e
b,s,w,a,f,c,c,n,g,e
x,f,n,n,f,c,b,y,d,e
x,s,n,p,f,c,e,s,u,p
x,y,n,l,f,c,r,y,p,e
x,s,n,n,f,w,e,a,g,e
b,y,y,l,f,c,c,n,m,e
x,s,y,a,f,c,c,n,m,e
b,s,y,a,f,c,c,s,m,e
x,s,y,l,f,c,c,n,m,e
b,y,w,a,f,c,c,n,g,e
x,f,g,n,f,c,e,v,u,e
f,y,n,a,f,c,r,s,g,e
x,f,g,n,f,w,e,a,g,e
x,s,w,l,f,c,c,n,m,e
x,y,y,l,f,c,c,s,m,e
x,f,g,n,f,c,e,v,u,e
x,s,n,p,f,c,e,s,u,p
b,y,w,l,f,c,c,n,g,e
b,y,w,a,f,c,c,n,m,e
x,y,n,p,f,c,e,v,u,p
b,s,y,l,f,c,c,s,m,e
x,s,w,l,f,c,c,s,m,e
x,y,y,l,f,c,c,s,m,e
b,y,y,l,f,c,c,n,g,e
x,s,w,a,f,c,c,s,m,e
x,s,w,a,f,c,c,s,g,e
x,y,n,l,f,c,r,y,p,e
x,s,w,a,f,c,c,s,m,e
x,s,n,n,f,w,e,s,g,e
x,y,n,l,f,c,r,s,p,e
x,y,y,l,f,c,r,y,g,e
x,y,n,p,f,c,e,v,g,p
b,y,y,a,f,c,c,n,g,e
x,f,w,l,f,w,b,v,d,e
x,s,n,p,f,c,e,s,u,p
x,y,y,l,f,c,c,n,g,e
f,f,g,n,f,w,e,a,g,e
x,y,w,l,f,c,c,s,g,e
b,y,w,a,f,c,c,s,m,e
x,y,n,p,f,c,e,s,u,p
f,y,n,l,f,c,r,s,g,e
x,s,w,l,f,c,c,n,m,e
x,s,w,a,f,w,b,v,d,e
f,y,n,a,f,c,r,y,p,e
b,s,w,a,f,c,c,n,m,e
x,s,w,n,f,w,e,a,g,e
f,f,g,n,f,c,e,v,u,e
x,y,w,a,f,c,c,s,g,e
x,y,y,l,f,c,r,y,g,e
b,s,y,l,f,c,c,s,g,e
b,s,y,l,f,c,c,s,g,e
f,s,w,l,f,w,b,v,d,e
b,s,w,a,f,c,c,n,m,e
x,f,y,a,f,w,b,v,d,e
x,y,w,l,f,c,c,n,m,e
b,y,y,l,f,c,c,n,m,e
x,y,n,a,f,c,r,y,p,e
x,y,w,l,f,c,c,s,m,e
x,y,w,l,f,c,c,s,m,e
x,y,y,a,f,c,r,y,p,e
x,y,w,l,f,c,c,n,m,e
x,s,y,l,f,c,c,n,m,e
x,y,n,l,f,c,r,s,g,e
x,s,w,l,f,c,c,n,g,e
f,y,n,l,f,c,r,s,g,e
b,s,w,l,f,c,c,s,m,e
x,f,n,n,f,c,b,y,d,e
x,y,w,l,f,c,c,s,m,e
b,s,w,l,f,c,c,n,g,e
b,s,y,l,f,c,c,n,m,e
x,f,y,l,f,w,b,v,d,e
b,s,w,l,f,c,c,n,m,e
x,s,g,n,f,w,e,a,g,e
b,s,w,a,f,c,c,n,g,e
b,s,y,l,f,c,c,s,m,e
f,y,y,a,f,c,r,y,p,e
f,y,n,a,f,c,r,y,p,e
x,s,w,a,f,c,c,s,m,e
f,y,y,l,f,c,r,s,g,e
b,s,w,a,f,c,c,s,g,e
x,y,y,a,f,c,c,n,m,e
x,f,n,n,f,c,e,v,u,e
f,y,n,a,f,c,r,y,g,e
x,s,w,a,f,c,c,n,m,e
x,s,y,l,f,c,c,n,g,e
b,y,y,l,f,c,c,n,g,e
f,y,y,a,f,c,r,s,p,e
x,y,y,l,f,c,c,n,g,e
x,y,w,a,f,c,c,n,m,e
f,f,w,a,f,w,b,v,d,e
s,f,g,n,f,c,e,y,u,e
f,s,y,l,f,w,b,v,d,e
f,f,g,n,f,c,e,y,u,e
x,f,n,n,f,c,e,y,u,e
b,y,w,a,f,c,c,n,g,e
x,s,w,a,f,w,b,v,d,e
b,y,y,l,f,c,c,s,m,e
b,y,y,a,f,c,c,s,m,e
b,y,y,l,f,c,c,s,g,e
f,s,w,l,f,w,b,v,d,e
f,f,g,n,f,c,e,y,u,e
f,s,w,a,f,w,b,v,d,e
f,y,y,a,f,c,r,y,g,e
x,y,w,l,f,c,c,s,m,e
s,f,n,n,f,c,e,y,u,e
x,y,n,l,f,c,r,s,p,e
x,y,n,a,f,c,r,s,p,e
f,f,y,a,f,w,b,v,d,e
f,s,n,p,f,c,e,s,g,p
x,s,n,p,f,c,e,v,u,p
f,y,n,l,f,c,r,s,p,e
x,y,y,a,f,c,r,s,g,e
b,s,y,a,f,c,c,n,m,e
f,f,w,n,f,w,e,a,g,e
f,y,n,a,f,c,r,s,g,e
x,y,w,a,f,c,c,s,g,e
b,s,y,l,f,c,c,n,m,e
x,s,y,a,f,c,c,n,g,e
b,y,y,a,f,c,c,n,g,e
x,s,w,l,f,c,c,n,m,e
b,s,y,a,f,c,c,s,m,e
b,y,y,a,f,c,c,s,g,e
x,s,n,p,f,c,e,v,g,p
x,s,g,n,f,w,e,s,g,e
f,s,n,n,f,w,e,a,g,e
x,f,w,a,f,w,b,v,d,e
f,f,g,n,f,c,e,v,u,e
f,f,n,n,f,c,e,y,u,e
b,y,y,a,f,c,c,s,g,e
x,f,w,a,f,w,b,v,d,e
s,f,g,n,f,c,e,v,u,e
x,f,n,n,f,c,e,v,u,e
x,f,w,n,f,w,e,a,g,e
x,y,n,l,f,c,r,y,p,e
b,s,y,a,f,c,c,n,g,e
x,y,w,l,f,c,c,s,g,e
x,y,y,a,f,c,c,n,g,e
x,s,w,l,f,c,c,n,m,e
b,s,w,l,f,c,c,s,g,e
f,y,y,a,f,c,r,y,p,e
x,s,n,p,f,c,e,s,u,p
f,f,g,n,f,c,e,y,u,e
b,s,y,l,f,c,c,s,g,e
f,y,n,a,f,c,r,s,p,e
x,s,y,a,f,c,c,s,m,e
x,f,n,n,f,c,e,y,u,e
f,y,y,a,f,c,r,y,p,e
x,y,n,a,f,c,r,y,p,e
x,s,w,a,f,c,c,s,g,e
x,y,w,p,f,c,e,s,g,p
f,y,n,l,f,c,r,y,p,e
f,s,n,p,f,c,e,s,g,p
x,f,w,n,f,w,e,s,g,e
b,y,w,a,f,c,c,s,m,e
s,f,n,n,f,c,e,v,u,e
x,y,y,l,f,c,c,s,m,e
f,s,w,a,f,w,b,v,d,e
x,s,y,a,f,c,c,s,m,e
f,f,g,n,f,w,e,s,g,e
x,y,w,p,f,c,e,s,g,p
x,y,y,a,f,c,r,s,g,e
f,f,n,n,f,w,e,a,g,e
x,s,w,a,f,c,c,s,m,e
b,y,y,l,f,c,c,s,m,e
f,f,g,n,f,c,e,v,u,e
x,f,y,l,f,w,b,v,d,e
x,s,y,a,f,c,c,n,m,e
f,f,n,n,f,c,e,y,u,e
x,f,g,n,f,w,e,s,g,e
x,y,y,l,f,c,r,s,p,e
f,s,w,l,f,w,b,v,d,e
x,s,y,l,f,c,c,s,g,e
f,y,y,a,f,c,r,y,p,e
x,y,n,p,f,c,e,v,u,p
x,f,w,l,f,w,b,v,d,e
x,s,w,l,f,c,c,n,g,e
x,y,y,a,f,c,c,n,m,e
b,s,y,a,f,c,c,s,g,e
x,s,y,a,f,w,b,v,d,e
x,s,y,a,f,w,b,v,d,e
x,f,w,n,f,w,e,s,g,e
b,s,w,a,f,c,c,s,m,e
x,y,w,p,f,c,e,v,g,p
x,y,y,a,f,c,c,n,g,e
f,s,g,n,f,w,e,s,g,e
x,s,n,p,f,c,e,s,g,p
b,y,w,a,f,c,c,n,m,e
x,s,w,a,f,c,c,n,m,e
f,f,y,l,f,w,b,v,d,e
x,s,y,a,f,c,c,n,g,e
b,y,w,l,f,c,c,n,g,e
x,y,n,a,f,c,r,y,g,e
x,s,y,l,f,c,c,s,g,e
x,f,n,n,f,c,e,v,u,e
x,s,y,l,f,c,c,s,g,e
x,y,y,l,f,c,r,y,g,e
x,s,n,p,f,c,e,s,g,p
x,s,w,a,f,c,c,n,m,e
x,s,y,a,f,c,c,s,m,e
x,y,w,l,f,c,c,n,g,e
x,y,y,a,f,c,r,y,g,e
f,y,y,a,f,c,r,s,g,e
x,y,w,a,f,c,c,s,m,e
s,f,g,n,f,c,e,v,u,e
f,f,n,n,f,c,e,y,u,e
s,f,g,n,f,c,e,v,u,e
x,y,w,a,f,c,c,n,m,e
x,s,w,p,f,c,e,s,u,p
x,s,g,n,f,w,e,s,g,e
x,y,y,l,f,c,c,s,g,e
x,y,w,p,f,c,e,s,g,p
x,s,y,a,f,c,c,n,m,e
x,s,n,p,f,c,e,v,u,p
b,s,y,l,f,c,c,n,m,e
b,y,w,l,f,c,c,s,m,e
x,y,w,p,f,c,e,s,g,p
x,s,n,p,f,c,e,s,u,p
x,s,g,n,f,w,e,a,g,e
x,y,n,l,f,c,r,y,g,e
f,f,w,n,f,w,e,a,g,e
f,y,n,l,f,c,r,s,p,e
b,y,w,l,f,c,c,s,m,e
b,s,w,a,f,c,c,n,g,e
x,s,g,n,f,w,e,s,g,e
f,y,n,a,f,c,r,y,g,e
x,s,w,l,f,c,c,s,m,e
f,f,g,n,f,c,e,v,u,e
f,s,n,n,f,w,e,a,g,e
x,f,g,n,f,w,e,s,g,e
f,s,w,n,f,w,e,a,g,e
x,s,w,p,f,c,e,s,u,p
x,y,y,l,f,c,r,s,g,e
b,s,w,l,f,c,c,s,g,e
f,f,g,n,f,w,e,a,g,e
b,y,w,l,f,c,c,s,g,e
b,s,y,a,f,c,c,n,m,e
s,f,g,n,f,c,e,y,u,e
f,y,y,l,f,c,r,s,g,e
b,s,w,l,f,c,c,n,g,e
x,f,w,l,f,w,b,v,d,e
f,y,y,a,f,c,r,s,p,e
f,f,g,n,f,c,e,y,u,e
x,s,w,l,f,c,c,s,m,e
f,f,y,l,f,w,b,v,d,e
s,f,g,n,f,c,e,y,u,e
b,y,w,a,f,c,c,s,g,e
b,s,w,a,f,c,c,n,g,e
f,f,n,n,f,w,e,s,g,e
b,y,y,a,f,c,c,n,m,e
x,f,n,n,f,c,b,v,d,e
x,y,n,l,f,c,r,s,g,e
x,y,n,a,f,c,r,s,g,e
b,y,y,a,f,c,c,s,m,e
f,y,y,a,f,c,r,s,g,e
x,y,y,l,f,c,c,n,m,e
x,s,n,n,f,w,e,s,g,e
x,y,w,a,f,c,c,s,m,e
b,y,y,l,f,c,c,n,m,e
x,y,n,a,f,c,r,y,g,e
f,y,n,l,f,c,r,s,p,e
f,y,n,a,f,c,r,y,g,e
f,y,y,l,f,c,r,s,p,e
x,s,y,l,f,w,b,v,d,e
b,y,w,a,f,c,c,s,m,e
b,s,w,l,f,c,c,n,m,e
x,y,y,a,f,c,c,s,g,e
f,f,w,l,f,w,b,v,d,e
x,s,y,a,f,c,c,s,g,e
b,s,y,l,f,c,c,n,m,e
f,y,y,a,f,c,r,y,g,e
x,y,n,p,f,c,e,s,g,p
x,y,w,p,f,c,e,v,u,p
x,s,y,l,f,c,c,s,g,e
f,f,w,n,f,w,e,s,g,e
b,s,y,a,f,c,c,n,g,e
x,y,y,l,f,c,r,y,p,e
f,f,g,n,f,c,e,y,u,e
b,s,w,a,f,c,c,s,g,e
x,s,w,l,f,c,c,s,m,e
x,y,n,p,f,c,e,s,g,p
x,s,n,p,f,c,e,s,g,p
b,s,w,l,f,c,c,s,g,e
b,s,y,a,f,c,c,n,m,e
f,y,n,a,f,c,r,s,g,e
x,y,y,l,f,c,r,y,g,e
f,y,y,l,f,c,r,y,p,e
x,y,w,a,f,c,c,n,g,e
x,s,y,a,f,c,c,s,g,e
f,f,n,n,f,c,e,v,u,e
f,f,n,n,f,w,e,a,g,e
x,f,y,l,f,w,b,v,d,e
f,y,y,l,f,c,r,s,p,e
f,f,n,n,f,c,e,y,u,e
f,f,g,n,f,c,e,v,u,e
x,y,n,l,f,c,r,y,g,e
