@relation wined
@attribute 1 {12=78+,12=185-12=78,-_12=185}
@attribute 2 {1=42-2=235,2=235+,-_1=42}
@attribute 3 {-_2=03,2=03+}
@attribute 4 {17=9+,-_17=9}
@attribute 5 {88=5+,-_88=5}
@attribute 6 {2=335+,-_1=84,1=84-2=335}
@attribute 7 {1=575-2=31,2=31+,-_0=975,0=975-1=575}
@attribute 8 {0=395+,-_0=395}
@attribute 9 {-_1=27,1=27+}
@attribute 10 {7=55+,3=46-7=55,-_3=46}
@attribute 11 {-_0=785,0=785-0=975,0=975-1=295,1=295+}
@attribute 12 {-_2=115,2=475+,2=115-2=475}
@attribute 13 {468-755,-_468,987=5+,755-987=5}
@attribute class {1,3,2}
@data
-_12=185,1=42-2=235,2=03+,17=9+,88=5+,1=84-2=335,1=575-2=31,0=395+,1=27+,-_3=46,0=785-0=975,2=115-2=475,-_468,2
12=185-12=78,2=235+,2=03+,17=9+,-_88=5,2=335+,1=575-2=31,-_0=395,-_1=27,-_3=46,0=785-0=975,2=475+,-_468,2
12=78+,1=42-2=235,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,755-987=5,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=785-0=975,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,-_1=27,3=46-7=55,0=785-0=975,-_2=115,468-755,3
12=185-12=78,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,-_1=27,3=46-7=55,-_0=785,-_2=115,468-755,3
12=78+,1=42-2=235,2=03+,17=9+,88=5+,2=335+,0=975-1=575,0=395+,1=27+,7=55+,-_0=785,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,1=27+,7=55+,-_0=785,-_2=115,755-987=5,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,1=27+,3=46-7=55,-_0=785,-_2=115,468-755,3
-_12=185,1=42-2=235,2=03+,17=9+,88=5+,-_1=84,1=575-2=31,0=395+,1=27+,-_3=46,1=295+,2=115-2=475,468-755,2
-_12=185,1=42-2=235,2=03+,17=9+,-_88=5,-_1=84,0=975-1=575,0=395+,1=27+,-_3=46,0=975-1=295,2=115-2=475,468-755,2
-_12=185,1=42-2=235,2=03+,17=9+,88=5+,2=335+,1=575-2=31,-_0=395,1=27+,-_3=46,0=975-1=295,2=475+,-_468,2
12=78+,-_1=42,-_2=03,17=9+,88=5+,1=84-2=335,1=575-2=31,-_0=395,-_1=27,3=46-7=55,0=975-1=295,2=115-2=475,468-755,2
-_12=185,2=235+,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,-_3=46,0=785-0=975,2=475+,468-755,2
12=185-12=78,-_1=42,-_2=03,-_17=9,88=5+,1=84-2=335,0=975-1=575,0=395+,-_1=27,3=46-7=55,0=975-1=295,-_2=115,-_468,2
-_12=185,-_1=42,2=03+,17=9+,-_88=5,2=335+,1=575-2=31,0=395+,1=27+,-_3=46,0=975-1=295,2=115-2=475,-_468,2
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=785-0=975,2=475+,987=5+,1
12=78+,2=235+,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,-_1=27,3=46-7=55,0=785-0=975,2=475+,987=5+,1
12=78+,2=235+,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=785-0=975,2=475+,987=5+,1
12=78+,2=235+,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=785-0=975,2=475+,987=5+,1
12=78+,2=235+,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,755-987=5,1
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,1=27+,7=55+,0=785-0=975,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,88=5+,1=84-2=335,-_0=975,-_0=395,-_1=27,7=55+,-_0=785,-_2=115,468-755,3
12=185-12=78,-_1=42,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,1=27+,7=55+,-_0=785,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,88=5+,1=84-2=335,-_0=975,0=395+,1=27+,7=55+,-_0=785,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,1=27+,7=55+,-_0=785,-_2=115,468-755,3
12=185-12=78,2=235+,-_2=03,-_17=9,-_88=5,-_1=84,0=975-1=575,0=395+,-_1=27,-_3=46,-_0=785,2=115-2=475,-_468,2
-_12=185,-_1=42,2=03+,17=9+,-_88=5,1=84-2=335,1=575-2=31,0=395+,1=27+,-_3=46,1=295+,2=475+,468-755,2
-_12=185,1=42-2=235,-_2=03,-_17=9,88=5+,1=84-2=335,1=575-2=31,-_0=395,1=27+,-_3=46,0=975-1=295,2=475+,468-755,2
12=185-12=78,2=235+,2=03+,17=9+,-_88=5,2=335+,1=575-2=31,-_0=395,1=27+,-_3=46,0=975-1=295,2=475+,-_468,2
12=185-12=78,2=235+,2=03+,17=9+,88=5+,1=84-2=335,1=575-2=31,0=395+,1=27+,-_3=46,0=785-0=975,2=475+,-_468,2
-_12=185,-_1=42,2=03+,17=9+,-_88=5,1=84-2=335,1=575-2=31,0=395+,1=27+,-_3=46,0=975-1=295,2=475+,468-755,2
12=185-12=78,2=235+,2=03+,17=9+,88=5+,-_1=84,1=575-2=31,0=395+,1=27+,-_3=46,0=785-0=975,2=475+,-_468,2
12=78+,1=42-2=235,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,755-987=5,1
12=78+,2=235+,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,2=235+,2=03+,17=9+,-_88=5,-_1=84,-_0=975,0=395+,-_1=27,7=55+,-_0=785,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,0=975-1=575,-_0=395,-_1=27,7=55+,-_0=785,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,88=5+,1=84-2=335,-_0=975,0=395+,-_1=27,3=46-7=55,0=785-0=975,2=115-2=475,468-755,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,-_1=27,3=46-7=55,-_0=785,2=115-2=475,468-755,3
12=78+,1=42-2=235,2=03+,17=9+,88=5+,1=84-2=335,0=975-1=575,-_0=395,1=27+,3=46-7=55,-_0=785,-_2=115,-_468,3
12=185-12=78,1=42-2=235,2=03+,17=9+,88=5+,-_1=84,0=975-1=575,-_0=395,1=27+,-_3=46,0=785-0=975,-_2=115,755-987=5,2
12=185-12=78,2=235+,2=03+,17=9+,-_88=5,2=335+,2=31+,0=395+,1=27+,-_3=46,1=295+,2=475+,-_468,2
12=185-12=78,-_1=42,-_2=03,-_17=9,-_88=5,2=335+,2=31+,-_0=395,1=27+,-_3=46,0=975-1=295,2=475+,-_468,2
12=78+,-_1=42,-_2=03,-_17=9,-_88=5,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,468-755,2
12=185-12=78,1=42-2=235,2=03+,17=9+,-_88=5,-_1=84,1=575-2=31,0=395+,1=27+,-_3=46,0=785-0=975,2=115-2=475,468-755,2
12=78+,-_1=42,2=03+,-_17=9,88=5+,2=335+,0=975-1=575,0=395+,-_1=27,-_3=46,0=975-1=295,-_2=115,468-755,2
12=78+,-_1=42,-_2=03,-_17=9,-_88=5,1=84-2=335,1=575-2=31,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,-_468,2
12=78+,1=42-2=235,2=03+,17=9+,88=5+,2=335+,2=31+,0=395+,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=785-0=975,2=475+,755-987=5,1
12=78+,1=42-2=235,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=785-0=975,2=475+,987=5+,1
12=78+,2=235+,2=03+,17=9+,88=5+,1=84-2=335,-_0=975,0=395+,-_1=27,3=46-7=55,0=785-0=975,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,-_1=27,3=46-7=55,0=785-0=975,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,1=27+,7=55+,-_0=785,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,-_1=27,3=46-7=55,-_0=785,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,88=5+,1=84-2=335,-_0=975,0=395+,-_1=27,7=55+,-_0=785,-_2=115,468-755,3
12=185-12=78,-_1=42,-_2=03,-_17=9,-_88=5,1=84-2=335,-_0=975,-_0=395,-_1=27,-_3=46,0=975-1=295,-_2=115,468-755,2
12=185-12=78,-_1=42,-_2=03,17=9+,-_88=5,1=84-2=335,1=575-2=31,-_0=395,-_1=27,3=46-7=55,0=975-1=295,2=475+,468-755,2
12=78+,1=42-2=235,2=03+,17=9+,-_88=5,2=335+,2=31+,-_0=395,1=27+,-_3=46,1=295+,2=475+,-_468,2
-_12=185,-_1=42,2=03+,17=9+,-_88=5,2=335+,1=575-2=31,0=395+,-_1=27,-_3=46,0=785-0=975,2=475+,-_468,2
-_12=185,-_1=42,2=03+,17=9+,88=5+,2=335+,1=575-2=31,-_0=395,1=27+,-_3=46,0=975-1=295,2=475+,755-987=5,2
-_12=185,-_1=42,-_2=03,17=9+,-_88=5,2=335+,1=575-2=31,-_0=395,1=27+,-_3=46,1=295+,2=475+,-_468,2
-_12=185,2=235+,2=03+,17=9+,-_88=5,2=335+,2=31+,-_0=395,1=27+,-_3=46,-_0=785,2=475+,-_468,2
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,-_1=42,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=785-0=975,2=475+,755-987=5,1
12=78+,1=42-2=235,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,755-987=5,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,-_1=42,2=03+,17=9+,88=5+,-_1=84,0=975-1=575,-_0=395,-_1=27,3=46-7=55,-_0=785,-_2=115,468-755,3
12=185-12=78,2=235+,2=03+,17=9+,88=5+,-_1=84,0=975-1=575,-_0=395,-_1=27,3=46-7=55,-_0=785,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,-_88=5,-_1=84,-_0=975,0=395+,-_1=27,3=46-7=55,0=785-0=975,-_2=115,468-755,3
12=185-12=78,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,-_0=395,-_1=27,7=55+,-_0=785,-_2=115,755-987=5,3
12=185-12=78,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,-_1=27,3=46-7=55,0=785-0=975,-_2=115,468-755,3
12=185-12=78,1=42-2=235,2=03+,17=9+,-_88=5,1=84-2=335,2=31+,0=395+,1=27+,-_3=46,0=785-0=975,2=475+,-_468,2
-_12=185,1=42-2=235,2=03+,17=9+,88=5+,-_1=84,0=975-1=575,-_0=395,1=27+,-_3=46,0=785-0=975,2=115-2=475,468-755,2
-_12=185,2=235+,-_2=03,17=9+,-_88=5,1=84-2=335,1=575-2=31,-_0=395,1=27+,-_3=46,0=785-0=975,2=475+,468-755,2
12=185-12=78,-_1=42,-_2=03,17=9+,88=5+,2=335+,1=575-2=31,-_0=395,1=27+,-_3=46,0=785-0=975,2=475+,-_468,2
12=185-12=78,-_1=42,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=115-2=475,468-755,2
12=185-12=78,1=42-2=235,2=03+,17=9+,-_88=5,-_1=84,0=975-1=575,0=395+,1=27+,-_3=46,0=785-0=975,-_2=115,468-755,2
12=185-12=78,2=235+,2=03+,17=9+,88=5+,2=335+,2=31+,0=395+,1=27+,-_3=46,0=975-1=295,2=475+,-_468,2
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,7=55+,0=975-1=295,2=475+,987=5+,1
12=78+,2=235+,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,468-755,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,17=9+,88=5+,2=335+,2=31+,0=395+,1=27+,3=46-7=55,0=975-1=295,2=475+,755-987=5,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,7=55+,0=975-1=295,2=475+,987=5+,1
12=185-12=78,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,-_1=27,3=46-7=55,-_0=785,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,-_88=5,-_1=84,-_0=975,0=395+,-_1=27,7=55+,-_0=785,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,0=975-1=575,-_0=395,-_1=27,3=46-7=55,-_0=785,-_2=115,468-755,3
12=185-12=78,2=235+,2=03+,17=9+,-_88=5,1=84-2=335,-_0=975,0=395+,-_1=27,7=55+,-_0=785,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,-_88=5,-_1=84,-_0=975,0=395+,-_1=27,3=46-7=55,-_0=785,-_2=115,468-755,3
-_12=185,1=42-2=235,-_2=03,17=9+,-_88=5,1=84-2=335,1=575-2=31,-_0=395,1=27+,-_3=46,0=785-0=975,2=475+,468-755,2
12=185-12=78,-_1=42,-_2=03,17=9+,-_88=5,-_1=84,0=975-1=575,-_0=395,1=27+,-_3=46,0=975-1=295,2=475+,468-755,2
12=185-12=78,-_1=42,2=03+,17=9+,88=5+,1=84-2=335,1=575-2=31,-_0=395,1=27+,-_3=46,0=975-1=295,2=475+,-_468,2
-_12=185,1=42-2=235,2=03+,17=9+,88=5+,1=84-2=335,1=575-2=31,0=395+,-_1=27,-_3=46,1=295+,2=115-2=475,-_468,2
12=185-12=78,1=42-2=235,2=03+,17=9+,88=5+,1=84-2=335,1=575-2=31,-_0=395,1=27+,-_3=46,0=975-1=295,2=475+,-_468,2
-_12=185,2=235+,2=03+,17=9+,88=5+,-_1=84,1=575-2=31,0=395+,-_1=27,3=46-7=55,0=975-1=295,2=475+,468-755,2
12=185-12=78,-_1=42,2=03+,17=9+,-_88=5,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,468-755,2
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=785-0=975,2=475+,755-987=5,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,1=575-2=31,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,17=9+,88=5+,2=335+,2=31+,0=395+,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,2=235+,2=03+,17=9+,-_88=5,-_1=84,-_0=975,0=395+,-_1=27,3=46-7=55,-_0=785,-_2=115,-_468,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,0=975-1=575,-_0=395,-_1=27,3=46-7=55,-_0=785,-_2=115,468-755,3
12=185-12=78,2=235+,2=03+,17=9+,88=5+,1=84-2=335,-_0=975,0=395+,-_1=27,3=46-7=55,-_0=785,-_2=115,755-987=5,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,0=975-1=575,-_0=395,-_1=27,7=55+,-_0=785,-_2=115,468-755,3
12=185-12=78,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,-_1=27,3=46-7=55,-_0=785,-_2=115,468-755,3
-_12=185,1=42-2=235,2=03+,17=9+,-_88=5,-_1=84,0=975-1=575,0=395+,1=27+,3=46-7=55,0=975-1=295,2=475+,-_468,2
-_12=185,2=235+,-_2=03,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,-_3=46,-_0=785,2=475+,468-755,2
12=185-12=78,-_1=42,2=03+,17=9+,-_88=5,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,-_468,2
-_12=185,1=42-2=235,2=03+,17=9+,-_88=5,1=84-2=335,1=575-2=31,0=395+,1=27+,-_3=46,0=975-1=295,2=475+,468-755,2
12=78+,2=235+,2=03+,17=9+,-_88=5,2=335+,2=31+,-_0=395,1=27+,-_3=46,-_0=785,2=475+,-_468,2
-_12=185,2=235+,2=03+,17=9+,-_88=5,1=84-2=335,1=575-2=31,0=395+,1=27+,-_3=46,0=785-0=975,2=475+,468-755,2
12=185-12=78,-_1=42,2=03+,-_17=9,88=5+,1=84-2=335,0=975-1=575,0=395+,-_1=27,-_3=46,0=975-1=295,-_2=115,468-755,2
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,755-987=5,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,0=395+,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,1=84-2=335,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,755-987=5,1
12=78+,2=235+,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=785-0=975,2=475+,755-987=5,1
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,-_1=27,7=55+,-_0=785,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,1=27+,7=55+,-_0=785,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,0=975-1=575,-_0=395,-_1=27,7=55+,-_0=785,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,1=27+,3=46-7=55,-_0=785,-_2=115,755-987=5,3
12=78+,1=42-2=235,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,-_3=46,1=295+,2=475+,755-987=5,2
12=78+,1=42-2=235,2=03+,17=9+,-_88=5,1=84-2=335,1=575-2=31,-_0=395,-_1=27,3=46-7=55,0=975-1=295,2=475+,468-755,2
12=185-12=78,2=235+,2=03+,17=9+,88=5+,2=335+,1=575-2=31,-_0=395,1=27+,-_3=46,0=785-0=975,2=475+,-_468,2
-_12=185,1=42-2=235,2=03+,17=9+,88=5+,2=335+,2=31+,0=395+,1=27+,3=46-7=55,0=785-0=975,2=475+,-_468,2
-_12=185,1=42-2=235,-_2=03,-_17=9,88=5+,-_1=84,0=975-1=575,-_0=395,-_1=27,3=46-7=55,0=975-1=295,2=115-2=475,-_468,2
-_12=185,1=42-2=235,2=03+,17=9+,-_88=5,2=335+,1=575-2=31,0=395+,1=27+,-_3=46,1=295+,2=475+,-_468,2
12=185-12=78,1=42-2=235,-_2=03,17=9+,-_88=5,1=84-2=335,1=575-2=31,-_0=395,1=27+,-_3=46,0=975-1=295,2=475+,468-755,2
12=185-12=78,1=42-2=235,2=03+,17=9+,-_88=5,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,-_0=785,2=475+,-_468,2
12=78+,1=42-2=235,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,0=395+,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,2=235+,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=785-0=975,2=475+,468-755,1
12=78+,1=42-2=235,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,1=42-2=235,2=03+,-_17=9,88=5+,2=335+,2=31+,-_0=395,1=27+,3=46-7=55,0=975-1=295,2=475+,987=5+,1
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,-_0=395,-_1=27,3=46-7=55,-_0=785,2=115-2=475,755-987=5,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,-_1=27,3=46-7=55,0=785-0=975,-_2=115,468-755,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,1=27+,7=55+,-_0=785,-_2=115,755-987=5,3
12=78+,2=235+,2=03+,17=9+,88=5+,-_1=84,-_0=975,0=395+,-_1=27,7=55+,-_0=785,-_2=115,468-755,3
12=185-12=78,-_1=42,-_2=03,-_17=9,88=5+,1=84-2=335,0=975-1=575,-_0=395,1=27+,-_3=46,0=975-1=295,2=475+,468-755,2
-_12=185,-_1=42,2=03+,17=9+,88=5+,1=84-2=335,1=575-2=31,-_0=395,1=27+,-_3=46,0=785-0=975,2=475+,468-755,2
12=78+,2=235+,2=03+,17=9+,-_88=5,-_1=84,1=575-2=31,0=395+,1=27+,3=46-7=55,0=785-0=975,-_2=115,468-755,2
-_12=185,-_1=42,2=03+,17=9+,88=5+,2=335+,2=31+,-_0=395,1=27+,-_3=46,0=785-0=975,2=475+,468-755,2
-_12=185,1=42-2=235,2=03+,17=9+,-_88=5,2=335+,2=31+,-_0=395,1=27+,-_3=46,0=785-0=975,2=475+,-_468,2
12=185-12=78,1=42-2=235,2=03+,17=9+,-_88=5,-_1=84,1=575-2=31,-_0=395,1=27+,-_3=46,0=975-1=295,2=475+,468-755,2
